battery_id,row_count,normal_count,high_retention_warning_count,invalid_capacity_count,warning_rate,min_retention,max_retention,reference_capacity_ah,battery_quality_flag
B0005,168,168,0,0,0.0,70.14755154986739,101.15172778353458,1.835349194223408,analysis_candidate
B0006,168,168,0,0,0.0,57.30905570094814,101.09327628016041,2.013326371345464,analysis_candidate
B0007,168,168,0,0,0.0,74.46605183267026,100.5524448294735,1.8806626717011388,analysis_candidate
B0018,132,132,0,0,0.0,72.89900508389351,100.83728326424955,1.8396018424355425,analysis_candidate
B0025,28,28,0,0,0.0,95.70561316863179,100.10137900687882,1.847111177186175,analysis_candidate
B0026,28,28,0,0,0.0,76.41205915323698,100.12327096938911,1.81429130140682,analysis_candidate
B0027,28,28,0,0,0.0,97.5667013662667,100.49989619735884,1.814238465116796,analysis_candidate
B0028,28,28,0,0,0.0,95.5282449824344,100.39856357506649,1.797618668222458,analysis_candidate
B0029,40,40,0,0,0.0,88.78311606891852,101.59442490392895,1.815750429913437,analysis_candidate
B0030,40,40,0,0,0.0,89.2122686102088,101.70114214227792,1.751755031874225,analysis_candidate
B0031,40,40,0,0,0.0,92.36529694510433,101.5749844579122,1.8044387333514835,analysis_candidate
B0032,40,40,0,0,0.0,87.68720014104171,101.52974082434942,1.8654947184112376,analysis_candidate
B0033,197,75,122,0,0.6192893401015228,5.893257863049995,162.36024610333064,1.1610848192311252,high_warning_battery
B0034,197,197,0,0,0.0,46.02436080470035,112.31400690490972,1.620729289277574,analysis_candidate
B0036,197,196,1,0,0.005076142131979695,55.63167882127454,135.69826246995703,1.8011007566288924,analysis_candidate
B0038,47,12,35,0,0.7446808510638298,84.61662392424564,168.32178556948233,1.0613249847591086,high_warning_battery
B0039,47,12,35,0,0.7446808510638298,25.266107506270263,376.0196209646232,0.4711383364607152,high_warning_battery
B0040,47,14,33,0,0.7021276595744681,54.62025063090302,222.4420522685655,0.7795871426061582,high_warning_battery
B0041,67,42,25,0,0.373134328358209,78.96323174882707,2177.0609322382265,0.0558390162918539,high_warning_battery
B0042,112,111,0,1,0.0,0.0,100.18721943501421,1.7282350363146088,has_invalid_capacity
B0043,112,111,0,1,0.0,0.0,101.92043917505018,1.6814906372051954,has_invalid_capacity
B0044,112,111,0,1,0.0,0.0,102.00341466274917,1.6534010755700512,has_invalid_capacity
B0045,72,69,1,2,0.013888888888888888,0.0,122.23081795851367,0.885193608411576,has_invalid_capacity
B0046,72,69,0,3,0.0,0.0,114.97670600668035,1.503121190703977,has_invalid_capacity
B0047,72,69,0,3,0.0,0.0,111.02254892747455,1.5080762969973425,has_invalid_capacity
B0048,72,69,0,3,0.0,0.0,110.61250749024248,1.4989223343608031,has_invalid_capacity
B0049,25,23,1,1,0.04,0.0,173.26292269338722,1.372852133389263,has_invalid_capacity
B0050,25,19,1,5,0.04,0.0,170.13939688374734,1.5517564797427017,has_invalid_capacity
B0051,25,23,1,1,0.04,0.0,189.67245582135382,1.2288940261191657,has_invalid_capacity
B0052,25,4,0,21,0.0,63.230827632797414,104.20023322896483,1.361138519065983,has_invalid_capacity
B0053,56,55,0,1,0.0,0.0,102.0773651932283,1.1305863853936766,has_invalid_capacity
B0054,103,102,0,1,0.0,0.0,106.43356327575648,1.0960302257185877,has_invalid_capacity
B0055,102,102,0,0,0.0,63.55092382000984,104.98171170002648,1.2572591312230863,analysis_candidate
B0056,102,102,0,0,0.0,60.528674477574505,103.62196223924316,1.2973654679476911,analysis_candidate
