dataset_id,file_id,source_column,normalized_role,dtype,requirement_level,observed_status,non_missing_count,missing_count,missing_rate,unique_count,availability_time,feature_or_metadata,leakage_status,readiness_status,notes
backblaze_drive_stats,backblaze_2013_bounded_sample,source_member,source_metadata,str,optional,present,96838,0,0.0,5,source_record,metadata,metadata_only,requires_review,
backblaze_drive_stats,backblaze_2013_bounded_sample,date,observation_timestamp,str,required,present,96838,0,0.0,5,observation_time,metadata,metadata_only,required_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,serial_number,asset_id,str,required,present,96838,0,0.0,28767,observation_time,metadata,metadata_only,required_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,model,asset_model,str,preferred,present,96838,0,0.0,40,observation_time,metadata_or_feature,safe_feature,requires_review,
backblaze_drive_stats,backblaze_2013_bounded_sample,capacity_bytes,static_covariate,int64,preferred,present,96838,0,0.0,5,observation_time,candidate_feature,safe_feature,requires_review,
backblaze_drive_stats,backblaze_2013_bounded_sample,failure,event_indicator,int64,required,present,96838,0,0.0,2,outcome_time,target,outcome_not_feature,required_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_1_normalized,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_1_raw,degradation_feature,int64,preferred,present,96838,0,0.0,41576,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_2_normalized,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_2_raw,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_3_normalized,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_3_raw,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_4_normalized,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_4_raw,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_5_normalized,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_5_raw,degradation_feature,int64,preferred,present,96838,0,0.0,1075,observation_time,candidate_feature,safe_feature,candidate_feature_available,
backblaze_drive_stats,backblaze_2013_bounded_sample,smart_7_normalized,degradation_feature,float64,preferred,present,0,96838,1.0,0,observation_time,candidate_feature,safe_feature,candidate_feature_available,
