case_study_version,source_artifact,source_sha256,boundary_type,model_name,feature_set,weighting_policy,alerted_row_count,positive_rows_in_alerted,false_positive_row_burden,precision,recall,mcc,lift,failed_asset_capture,status,decision
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,dummy_prior,smart_only_conservative,asset_balanced,1281.0,0.0,1281.0,0.0,,,0.0,0.0,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,logistic_regression,smart_only_conservative,asset_balanced,1281.0,83.0,1198.0,0.0647931303669008,,,58.02927127517292,0.7307692307692307,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,random_forest,smart_only_conservative,asset_balanced,1281.0,76.0,1205.0,0.0593286494925839,,,53.13523634835111,0.7692307692307693,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,hist_gradient_boosting,smart_only_conservative,asset_balanced,1281.0,86.0,1195.0,0.0671350507416081,,,60.12671481523942,0.7692307692307693,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,dummy_prior,smart_only_conservative,raw_row,1281.0,0.0,1281.0,0.0,,,0.0,0.0,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,logistic_regression,smart_only_conservative,raw_row,1281.0,83.0,1198.0,0.0647931303669008,,,58.02927127517292,0.7307692307692307,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,random_forest,smart_only_conservative,raw_row,1281.0,76.0,1205.0,0.0593286494925839,,,53.13523634835111,0.8076923076923077,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,hist_gradient_boosting,smart_only_conservative,raw_row,1281.0,96.0,1185.0,0.0749414519906323,,,67.1181932821277,0.8846153846153846,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,1281.0,0.0,1281.0,0.0,,,0.0,0.0,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,1281.0,76.0,1205.0,0.0593286494925839,,,53.13523634835111,0.6538461538461539,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,random_forest,smart_plus_safe_operational_metadata,asset_balanced,1281.0,90.0,1191.0,0.0702576112412178,,,62.92330620199473,0.8461538461538461,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_top_1_percent_ranking,hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,1281.0,83.0,1198.0,0.0647931303669008,,,58.02927127517292,0.7692307692307693,offline_ranking_diagnostic,"Top-risk concentration can prioritize retrospective inspection, not production alerts."
