dataset,column_name,role,dtype,non_null_count,missing_count,missing_percent,unique_count,is_numeric
uci_secom,source_sample_index,source_row_order,int64,1567,0,0.0,1567,True
uci_secom,sample_id,unit_id,str,1567,0,0.0,1567,False
uci_secom,target_raw,target,int64,1567,0,0.0,2,True
uci_secom,target_pass_fail,target,int64,1567,0,0.0,2,True
uci_secom,observation_timestamp,observation_timestamp,datetime64[us],1567,0,0.0,1534,False
uci_secom,feature_000,process_feature,float64,1561,6,0.3828972559029994,1520,True
uci_secom,feature_001,process_feature,float64,1560,7,0.4467134652201659,1504,True
uci_secom,feature_002,process_feature,float64,1553,14,0.8934269304403318,507,True
uci_secom,feature_003,process_feature,float64,1553,14,0.8934269304403318,518,True
uci_secom,feature_004,process_feature,float64,1553,14,0.8934269304403318,503,True
uci_secom,feature_005,process_feature,float64,1553,14,0.8934269304403318,1,True
uci_secom,feature_006,process_feature,float64,1553,14,0.8934269304403318,510,True
uci_secom,feature_007,process_feature,float64,1558,9,0.574345883854499,89,True
uci_secom,feature_008,process_feature,float64,1565,2,0.12763241863433314,1208,True
uci_secom,feature_009,process_feature,float64,1565,2,0.12763241863433314,568,True
uci_secom,feature_010,process_feature,float64,1565,2,0.12763241863433314,392,True
uci_secom,feature_011,process_feature,float64,1565,2,0.12763241863433314,378,True
uci_secom,feature_012,process_feature,float64,1565,2,0.12763241863433314,1547,True
uci_secom,feature_013,process_feature,float64,1564,3,0.1914486279514997,1,True
uci_secom,feature_014,process_feature,float64,1564,3,0.1914486279514997,1555,True
uci_secom,feature_015,process_feature,float64,1564,3,0.1914486279514997,1561,True
uci_secom,feature_016,process_feature,float64,1564,3,0.1914486279514997,1477,True
uci_secom,feature_017,process_feature,float64,1564,3,0.1914486279514997,281,True
uci_secom,feature_018,process_feature,float64,1564,3,0.1914486279514997,1548,True
uci_secom,feature_019,process_feature,float64,1557,10,0.6381620931716656,361,True
uci_secom,feature_020,process_feature,float64,1567,0,0.0,552,True
uci_secom,feature_021,process_feature,float64,1565,2,0.12763241863433314,1295,True
uci_secom,feature_022,process_feature,float64,1565,2,0.12763241863433314,1176,True
uci_secom,feature_023,process_feature,float64,1565,2,0.12763241863433314,1480,True
uci_secom,feature_024,process_feature,float64,1565,2,0.12763241863433314,1494,True
uci_secom,feature_025,process_feature,float64,1565,2,0.12763241863433314,704,True
uci_secom,feature_026,process_feature,float64,1565,2,0.12763241863433314,624,True
uci_secom,feature_027,process_feature,float64,1565,2,0.12763241863433314,1148,True
uci_secom,feature_028,process_feature,float64,1565,2,0.12763241863433314,869,True
uci_secom,feature_029,process_feature,float64,1565,2,0.12763241863433314,188,True
uci_secom,feature_030,process_feature,float64,1565,2,0.12763241863433314,842,True
uci_secom,feature_031,process_feature,float64,1565,2,0.12763241863433314,1275,True
uci_secom,feature_032,process_feature,float64,1566,1,0.06381620931716657,338,True
uci_secom,feature_033,process_feature,float64,1566,1,0.06381620931716657,330,True
uci_secom,feature_034,process_feature,float64,1566,1,0.06381620931716657,329,True
uci_secom,feature_035,process_feature,float64,1566,1,0.06381620931716657,331,True
uci_secom,feature_036,process_feature,float64,1566,1,0.06381620931716657,330,True
uci_secom,feature_037,process_feature,float64,1566,1,0.06381620931716657,325,True
uci_secom,feature_038,process_feature,float64,1566,1,0.06381620931716657,329,True
uci_secom,feature_039,process_feature,float64,1566,1,0.06381620931716657,333,True
uci_secom,feature_040,process_feature,float64,1543,24,1.5315890236119976,291,True
uci_secom,feature_041,process_feature,float64,1543,24,1.5315890236119976,315,True
