battery_id,cycle_index,ambient_temperature_c,discharge_capacity_ah,reference_capacity_ah,reference_capacity_method,capacity_retention_percent,retention_quality_flag,internal_resistance_ohm,failed,source_filename,uid,test_id
B0005,1,24,1.8564874208181572,1.835349194223408,first_n_median,101.15172778353458,normal,,0,05122.csv,5122,1
B0005,2,24,1.846327249719927,1.835349194223408,first_n_median,100.59814533011328,normal,,0,05124.csv,5124,3
B0005,3,24,1.835349194223408,1.835349194223408,first_n_median,100.0,normal,,0,05126.csv,5126,5
B0005,4,24,1.8352625275821128,1.835349194223408,first_n_median,99.99527792086825,normal,,0,05128.csv,5128,7
B0005,5,24,1.8346455082120416,1.835349194223408,first_n_median,99.96165928458839,normal,,0,05130.csv,5130,9
B0005,6,24,1.8356616600675493,1.835349194223408,first_n_median,100.01702487162251,normal,,0,05132.csv,5132,11
B0005,7,24,1.8351461429226603,1.835349194223408,first_n_median,99.9889366393389,normal,,0,05134.csv,5134,13
B0005,8,24,1.8257567905665535,1.835349194223408,first_n_median,99.47735266471113,normal,,0,05136.csv,5136,15
B0005,9,24,1.8247738529891333,1.835349194223408,first_n_median,99.42379677570025,normal,,0,05138.csv,5138,17
B0005,10,24,1.824613268496936,1.835349194223408,first_n_median,99.41504724222169,normal,,0,05140.csv,5140,19
B0005,11,24,1.8246195526864504,1.835349194223408,first_n_median,99.41538963970845,normal,,0,05142.csv,5142,21
B0005,12,24,1.814201935767392,1.835349194223408,first_n_median,98.84778011058741,normal,,0,05145.csv,5145,24
B0005,13,24,1.8137521577549052,1.835349194223408,first_n_median,98.8232737107207,normal,,0,05147.csv,5147,26
B0005,14,24,1.8134404914735824,1.835349194223408,first_n_median,98.80629240371364,normal,,0,05149.csv,5149,28
B0005,15,24,1.8025980036306504,1.835349194223408,first_n_median,98.21553355100822,normal,,0,05151.csv,5151,30
B0005,16,24,1.80210690024615,1.835349194223408,first_n_median,98.18877551575008,normal,,0,05153.csv,5153,32
B0005,17,24,1.802579500826209,1.835349194223408,first_n_median,98.21452541563544,normal,,0,05155.csv,5155,34
B0005,18,24,1.8030683142834096,1.835349194223408,first_n_median,98.24115868295802,normal,,0,05157.csv,5157,36
B0005,19,24,1.802777624719604,1.835349194223408,first_n_median,98.22532030382447,normal,,0,05159.csv,5159,38
B0005,20,24,1.8470259949329195,1.835349194223408,first_n_median,100.63621684343576,normal,,0,05162.csv,5162,41
B0005,21,24,1.847417311283644,1.835349194223408,first_n_median,100.65753792783518,normal,,0,05166.csv,5166,45
B0005,22,24,1.8361774213478947,1.835349194223408,first_n_median,100.04512640575938,normal,,0,05170.csv,5170,49
B0005,23,24,1.825780747577624,1.835349194223408,first_n_median,99.47865797550135,normal,,0,05174.csv,5174,53
B0005,24,24,1.8251136435078368,1.835349194223408,first_n_median,99.44231044709167,normal,,0,05178.csv,5178,57
